"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "HTML", "Markdown", "XML", "comment", "blank", "total"
"f:\urbanReality\package-lock.json", "JSON", 0, 1957, 0, 0, 0, 0, 0, 0, 1, 1958
"f:\urbanReality\package.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\urbanReality\tailwind.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\details.md", "Markdown", 0, 0, 0, 0, 0, 62, 0, 0, 6, 68
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 6, 15
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 7, 19
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\results.md", "Markdown", 0, 0, 0, 0, 0, 40, 0, 0, 7, 47
"f:\urbanReality\urban-reality-os\README.md", "Markdown", 0, 0, 0, 0, 0, 27, 0, 0, 17, 44
"f:\urbanReality\urban-reality-os\backend\README.md", "Markdown", 0, 0, 0, 0, 0, 20, 0, 0, 12, 32
"f:\urbanReality\urban-reality-os\backend\config\db.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\urbanReality\urban-reality-os\backend\middleware\authMiddleware.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"f:\urbanReality\urban-reality-os\backend\models\User.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"f:\urbanReality\urban-reality-os\backend\package-lock.json", "JSON", 0, 2376, 0, 0, 0, 0, 0, 0, 1, 2377
"f:\urbanReality\urban-reality-os\backend\package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"f:\urbanReality\urban-reality-os\backend\routes\authRoutes.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 3, 17, 76
"f:\urbanReality\urban-reality-os\backend\routes\userRoutes.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 4, 11, 98
"f:\urbanReality\urban-reality-os\backend\server.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 1, 8, 40
"f:\urbanReality\urban-reality-os\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"f:\urbanReality\urban-reality-os\index.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"f:\urbanReality\urban-reality-os\package-lock.json", "JSON", 0, 4416, 0, 0, 0, 0, 0, 0, 1, 4417
"f:\urbanReality\urban-reality-os\package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"f:\urbanReality\urban-reality-os\public\data\aqi.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"f:\urbanReality\urban-reality-os\public\data\demographics.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"f:\urbanReality\urban-reality-os\public\data\facilities.json", "JSON", 0, 179, 0, 0, 0, 0, 0, 0, 0, 179
"f:\urbanReality\urban-reality-os\public\data\flood.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"f:\urbanReality\urban-reality-os\public\data\traffic.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"f:\urbanReality\urban-reality-os\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"f:\urbanReality\urban-reality-os\server\index.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 6, 15, 80
"f:\urbanReality\urban-reality-os\server\models\User.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"f:\urbanReality\urban-reality-os\server\package.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"f:\urbanReality\urban-reality-os\server\routes\auth.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 3, 15, 82
"f:\urbanReality\urban-reality-os\server\routes\gemini.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 11, 60
"f:\urbanReality\urban-reality-os\src\App.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\urbanReality\urban-reality-os\src\components\AuthModal.jsx", "JavaScript JSX", 0, 0, 147, 0, 0, 0, 0, 1, 16, 164
"f:\urbanReality\urban-reality-os\src\components\BottomLayers.jsx", "JavaScript JSX", 0, 0, 120, 0, 0, 0, 0, 4, 8, 132
"f:\urbanReality\urban-reality-os\src\components\CitySuggestions.jsx", "JavaScript JSX", 0, 0, 118, 0, 0, 0, 0, 11, 12, 141
"f:\urbanReality\urban-reality-os\src\components\CoordinateDisplay.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 0, 0, 2, 10, 71
"f:\urbanReality\urban-reality-os\src\components\DebugPanel.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"f:\urbanReality\urban-reality-os\src\components\EconomicImpact.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 0, 4, 9, 69
"f:\urbanReality\urban-reality-os\src\components\EconomicPanel.jsx", "JavaScript JSX", 0, 0, 84, 0, 0, 0, 0, 3, 7, 94
"f:\urbanReality\urban-reality-os\src\components\FacilityListPanel.jsx", "JavaScript JSX", 0, 0, 212, 0, 0, 0, 0, 2, 18, 232
"f:\urbanReality\urban-reality-os\src\components\FacilityStatsPanel.jsx", "JavaScript JSX", 0, 0, 110, 0, 0, 0, 0, 4, 17, 131
"f:\urbanReality\urban-reality-os\src\components\InfoPanel.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 5, 9, 71
"f:\urbanReality\urban-reality-os\src\components\InsightPanel.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 3, 61
"f:\urbanReality\urban-reality-os\src\components\LayerToggle.jsx", "JavaScript JSX", 0, 0, 215, 0, 0, 0, 0, 3, 10, 228
"f:\urbanReality\urban-reality-os\src\components\LocationPopup.jsx", "JavaScript JSX", 0, 0, 181, 0, 0, 0, 0, 9, 24, 214
"f:\urbanReality\urban-reality-os\src\components\MapMenu.jsx", "JavaScript JSX", 0, 0, 163, 0, 0, 0, 0, 5, 11, 179
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 0, 2233, 0, 0, 0, 0, 157, 255, 2645
"f:\urbanReality\urban-reality-os\src\components\MetricBar.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"f:\urbanReality\urban-reality-os\src\components\MetrixHover.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\urbanReality\urban-reality-os\src\components\ResponsiveLocationPanel.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 0, 7, 9, 68
"f:\urbanReality\urban-reality-os\src\components\SearchBar.jsx", "JavaScript JSX", 0, 0, 300, 0, 0, 0, 0, 12, 24, 336
"f:\urbanReality\urban-reality-os\src\components\TimeSlider.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 3, 49
"f:\urbanReality\urban-reality-os\src\components\terrain\ElevationLayer.jsx", "JavaScript JSX", 0, 0, 229, 0, 0, 0, 0, 8, 23, 260
"f:\urbanReality\urban-reality-os\src\components\terrain\FloodSimulationLayer.jsx", "JavaScript JSX", 0, 0, 301, 0, 0, 0, 0, 15, 33, 349
"f:\urbanReality\urban-reality-os\src\components\terrain\HeatLayer.jsx", "JavaScript JSX", 0, 0, 357, 0, 0, 0, 0, 22, 43, 422
"f:\urbanReality\urban-reality-os\src\components\terrain\SuitabilityLayer.jsx", "JavaScript JSX", 0, 0, 350, 0, 0, 0, 0, 14, 38, 402
"f:\urbanReality\urban-reality-os\src\components\terrain\TerrainLayer.jsx", "JavaScript JSX", 0, 0, 231, 0, 0, 0, 0, 3, 13, 247
"f:\urbanReality\urban-reality-os\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 0, 1, 8, 50
"f:\urbanReality\urban-reality-os\src\hooks\map\useCinematic.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 5, 11, 68
"f:\urbanReality\urban-reality-os\src\hooks\map\useDataFetching.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 9, 78
