"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\components\FloodSimulationLayer.jsx", "JavaScript JSX", 0, 311, 10, 36, 357
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 91, -16, 1, 76
"f:\urbanReality\urban-reality-os\src\components\terrain\FloodSimulationLayer.jsx", "JavaScript JSX", 0, 5, 0, 1, 6
"f:\urbanReality\urban-reality-os\src\components\terrain\HeatLayer.jsx", "JavaScript JSX", 0, 2, -6, -3, -7
"f:\urbanReality\urban-reality-os\src\components\terrain\SuitabilityLayer.jsx", "JavaScript JSX", 0, 1, 0, 0, 1
"f:\urbanReality\urban-reality-os\src\engines\CityBrain.js", "JavaScript", 29, 0, 0, 7, 36
"f:\urbanReality\urban-reality-os\src\engines\SimulationEngine.js", "JavaScript", 52, 0, 0, 9, 61
"f:\urbanReality\urban-reality-os\src\engines\TerrainEngine.js", "JavaScript", 173, 0, 0, 27, 200
"f:\urbanReality\urban-reality-os\src\hooks\map\useTerrain.js", "JavaScript", -42, 0, -3, -11, -56
"f:\urbanReality\urban-reality-os\src\hooks\useSimulationEngine.js", "JavaScript", -26, 0, 0, -4, -30
"f:\urbanReality\urban-reality-os\src\workers\floodWorker.js", "JavaScript", 6, 0, 0, 1, 7
"f:\urbanReality\urban-reality-os\src\workers\terrainWorker.js", "JavaScript", 30, 0, 0, 6, 36
"Total", "-", 222, 410, -15, 70, 687
