"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\index.html", "HTML", 0, 0, 0, 9, 2, 3, 14
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, -1788, 0, 0, -96, -217, -2101
"f:\urbanReality\urban-reality-os\src\config\performance.js", "JavaScript", 42, 0, 0, 0, 9, 9, 60
"f:\urbanReality\urban-reality-os\src\hooks\useCameraControls.js", "JavaScript", 166, 0, 0, 0, 9, 24, 199
"f:\urbanReality\urban-reality-os\src\hooks\useFloodAnimation.js", "JavaScript", 81, 0, 0, 0, 11, 17, 109
"f:\urbanReality\urban-reality-os\src\hooks\useInteractions.js", "JavaScript", 253, 0, 0, 0, 16, 40, 309
"f:\urbanReality\urban-reality-os\src\hooks\useKeyboardShortcuts.js", "JavaScript", 21, 0, 0, 0, 4, 5, 30
"f:\urbanReality\urban-reality-os\src\hooks\useLayerSync.js", "JavaScript", 85, 0, 0, 0, 12, 20, 117
"f:\urbanReality\urban-reality-os\src\hooks\useMapEngine.js", "JavaScript", 115, 0, 0, 0, 15, 21, 151
"f:\urbanReality\urban-reality-os\src\hooks\useOptimizations.js", "JavaScript", 58, 0, 0, 0, 10, 15, 83
"f:\urbanReality\urban-reality-os\src\hooks\useYearProjection.js", "JavaScript", 59, 0, 0, 0, 3, 11, 73
"f:\urbanReality\urban-reality-os\src\index.css", "PostCSS", 0, 0, 21, 0, 0, 4, 25
"f:\urbanReality\urban-reality-os\src\layers\terrain\ElevationLayerPlugin.js", "JavaScript", 95, 0, 0, 0, 16, 11, 122
"f:\urbanReality\urban-reality-os\src\layers\terrain\SuitabilityLayerPlugin.js", "JavaScript", 138, 0, 0, 0, 4, 23, 165
"f:\urbanReality\urban-reality-os\src\layers\terrain\TerrainFloodPlugin.js", "JavaScript", 126, 0, 0, 0, 15, 17, 158
"f:\urbanReality\urban-reality-os\src\main.jsx", "JavaScript JSX", 0, 19, 0, 0, 2, 2, 23
"f:\urbanReality\urban-reality-os\src\store\useMapStore.js", "JavaScript", 37, 0, 0, 0, 2, 3, 42
"f:\urbanReality\urban-reality-os\src\utils\cache.js", "JavaScript", 83, 0, 0, 0, 17, 20, 120
"f:\urbanReality\urban-reality-os\src\utils\performance.js", "JavaScript", 72, 0, 0, 0, 16, 17, 105
"f:\urbanReality\urban-reality-os\src\utils\safeFetch.js", "JavaScript", 12, 0, 0, 0, 3, 5, 20
"f:\urbanReality\urban-reality-os\vite.config.js", "JavaScript", 23, 0, 0, 0, 0, 0, 23
"Total", "-", 1466, -1769, 21, 9, 70, 50, -153
