"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Markdown", "XML", "PostCSS", "HTML", "comment", "blank", "total"
"f:\urbanReality\package-lock.json", "JSON", 0, 1957, 0, 0, 0, 0, 0, 0, 1, 1958
"f:\urbanReality\package.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\urbanReality\tailwind.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\details.md", "Markdown", 0, 0, 0, 62, 0, 0, 0, 0, 6, 68
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\results.md", "Markdown", 0, 0, 0, 40, 0, 0, 0, 0, 7, 47
"f:\urbanReality\urban-reality-os\README.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 0, 17, 44
"f:\urbanReality\urban-reality-os\backend\README.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 12, 32
"f:\urbanReality\urban-reality-os\backend\config\db.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\urbanReality\urban-reality-os\backend\middleware\authMiddleware.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"f:\urbanReality\urban-reality-os\backend\models\User.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"f:\urbanReality\urban-reality-os\backend\package-lock.json", "JSON", 0, 2376, 0, 0, 0, 0, 0, 0, 1, 2377
"f:\urbanReality\urban-reality-os\backend\package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"f:\urbanReality\urban-reality-os\backend\routes\authRoutes.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 3, 17, 76
"f:\urbanReality\urban-reality-os\backend\routes\userRoutes.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 4, 11, 98
"f:\urbanReality\urban-reality-os\backend\server.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 1, 8, 40
"f:\urbanReality\urban-reality-os\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"f:\urbanReality\urban-reality-os\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 2, 4, 27
"f:\urbanReality\urban-reality-os\package-lock.json", "JSON", 0, 4446, 0, 0, 0, 0, 0, 0, 1, 4447
"f:\urbanReality\urban-reality-os\package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"f:\urbanReality\urban-reality-os\public\data\aqi.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"f:\urbanReality\urban-reality-os\public\data\demographics.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"f:\urbanReality\urban-reality-os\public\data\facilities.json", "JSON", 0, 179, 0, 0, 0, 0, 0, 0, 0, 179
"f:\urbanReality\urban-reality-os\public\data\flood.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"f:\urbanReality\urban-reality-os\public\data\traffic.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"f:\urbanReality\urban-reality-os\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\urbanReality\urban-reality-os\server\index.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 6, 15, 80
"f:\urbanReality\urban-reality-os\server\models\User.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"f:\urbanReality\urban-reality-os\server\package.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"f:\urbanReality\urban-reality-os\server\routes\auth.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 3, 15, 82
"f:\urbanReality\urban-reality-os\server\routes\gemini.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 11, 60
"f:\urbanReality\urban-reality-os\src\App.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\urbanReality\urban-reality-os\src\components\AuthModal.jsx", "JavaScript JSX", 0, 0, 147, 0, 0, 0, 0, 1, 16, 164
"f:\urbanReality\urban-reality-os\src\components\BottomLayers.jsx", "JavaScript JSX", 0, 0, 120, 0, 0, 0, 0, 4, 8, 132
"f:\urbanReality\urban-reality-os\src\components\CitySuggestions.jsx", "JavaScript JSX", 0, 0, 118, 0, 0, 0, 0, 11, 12, 141
"f:\urbanReality\urban-reality-os\src\components\CommandBar.jsx", "JavaScript JSX", 0, 0, 114, 0, 0, 0, 0, 1, 12, 127
"f:\urbanReality\urban-reality-os\src\components\ContextEngine.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 1, 5, 64
"f:\urbanReality\urban-reality-os\src\components\ControlDock.jsx", "JavaScript JSX", 0, 0, 148, 0, 0, 0, 0, 4, 10, 162
"f:\urbanReality\urban-reality-os\src\components\CoordinateDisplay.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 0, 0, 2, 10, 71
"f:\urbanReality\urban-reality-os\src\components\DebugPanel.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"f:\urbanReality\urban-reality-os\src\components\EconomicImpact.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 0, 4, 9, 69
"f:\urbanReality\urban-reality-os\src\components\EconomicPanel.jsx", "JavaScript JSX", 0, 0, 84, 0, 0, 0, 0, 3, 7, 94
"f:\urbanReality\urban-reality-os\src\components\FacilityListPanel.jsx", "JavaScript JSX", 0, 0, 212, 0, 0, 0, 0, 2, 18, 232
"f:\urbanReality\urban-reality-os\src\components\FacilityStatsPanel.jsx", "JavaScript JSX", 0, 0, 110, 0, 0, 0, 0, 4, 17, 131
"f:\urbanReality\urban-reality-os\src\components\FloodSimulationLayer.jsx", "JavaScript JSX", 0, 0, 311, 0, 0, 0, 0, 10, 36, 357
"f:\urbanReality\urban-reality-os\src\components\InfoPanel.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 5, 9, 71
"f:\urbanReality\urban-reality-os\src\components\InsightPanel.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 3, 61
"f:\urbanReality\urban-reality-os\src\components\LayerToggle.jsx", "JavaScript JSX", 0, 0, 215, 0, 0, 0, 0, 3, 10, 228
"f:\urbanReality\urban-reality-os\src\components\LocationPanel.jsx", "JavaScript JSX", 0, 0, 137, 0, 0, 0, 0, 4, 17, 158
"f:\urbanReality\urban-reality-os\src\components\LocationPopup.jsx", "JavaScript JSX", 0, 0, 181, 0, 0, 0, 0, 9, 24, 214
"f:\urbanReality\urban-reality-os\src\components\MapMenu.jsx", "JavaScript JSX", 0, 0, 163, 0, 0, 0, 0, 5, 11, 179
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 0, 462, 0, 0, 0, 0, 31, 41, 534
"f:\urbanReality\urban-reality-os\src\components\MetricBar.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"f:\urbanReality\urban-reality-os\src\components\MetrixHover.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\urbanReality\urban-reality-os\src\components\ResponsiveLocationPanel.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 0, 7, 9, 68
"f:\urbanReality\urban-reality-os\src\components\SearchBar.jsx", "JavaScript JSX", 0, 0, 300, 0, 0, 0, 0, 12, 24, 336
"f:\urbanReality\urban-reality-os\src\components\TerrainPanel.jsx", "JavaScript JSX", 0, 0, 139, 0, 0, 0, 0, 5, 9, 153
"f:\urbanReality\urban-reality-os\src\components\TimeSlider.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 3, 49
"f:\urbanReality\urban-reality-os\src\components\TimelineBar.jsx", "JavaScript JSX", 0, 0, 71, 0, 0, 0, 0, 5, 13, 89
"f:\urbanReality\urban-reality-os\src\components\terrain\ElevationLayer.jsx", "JavaScript JSX", 0, 0, 229, 0, 0, 0, 0, 8, 23, 260
