"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\components\FloodSimulationLayer.jsx", "JavaScript JSX", 0, -41, 0, -2, -4, -47
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 50, 0, 6, -6, 50
"f:\urbanReality\urban-reality-os\src\core\CacheEngine.js", "JavaScript", 60, 0, 0, 41, 14, 115
"f:\urbanReality\urban-reality-os\src\core\EventBus.js", "JavaScript", 58, 0, 0, 8, 9, 75
"f:\urbanReality\urban-reality-os\src\core\FrameController.js", "JavaScript", 64, 0, 0, 29, 14, 107
"f:\urbanReality\urban-reality-os\src\engines\DataEngine.js", "JavaScript", 5, 0, 0, 4, -3, 6
"f:\urbanReality\urban-reality-os\src\engines\FacilityEngine.js", "JavaScript", -5, 0, 0, -19, 1, -23
"f:\urbanReality\urban-reality-os\src\engines\MapEngine.js", "JavaScript", 10, 0, 0, 7, 1, 18
"f:\urbanReality\urban-reality-os\src\engines\SimulationEngine.js", "JavaScript", 6, 0, 0, 6, 2, 14
"f:\urbanReality\urban-reality-os\src\engines\TerrainEngine.js", "JavaScript", 13, 0, 0, 2, 4, 19
"f:\urbanReality\urban-reality-os\src\hooks\useCameraControls.js", "JavaScript", 4, 0, 0, 1, 2, 7
"f:\urbanReality\urban-reality-os\src\hooks\useFloodAnimation.js", "JavaScript", -3, 0, 0, 1, 0, -2
"f:\urbanReality\urban-reality-os\src\hooks\useInteractions.js", "JavaScript", 22, 0, 0, 3, 4, 29
"f:\urbanReality\urban-reality-os\src\hooks\useLayerSync.js", "JavaScript", 5, 0, 0, 2, 1, 8
"f:\urbanReality\urban-reality-os\src\hooks\useLocationMetrics.js", "JavaScript", 18, 0, 0, 4, 5, 27
"f:\urbanReality\urban-reality-os\src\hooks\useMapEngine.js", "JavaScript", 24, 0, 0, -1, 0, 23
"f:\urbanReality\urban-reality-os\src\hooks\useOptimizations.js", "JavaScript", 11, 0, 0, 3, 2, 16
"f:\urbanReality\urban-reality-os\src\hooks\useYearProjection.js", "JavaScript", 2, 0, 0, 0, 0, 2
"f:\urbanReality\urban-reality-os\src\index.css", "PostCSS", 0, 0, 2, 0, 0, 2
"f:\urbanReality\urban-reality-os\src\store\selectors.js", "JavaScript", 67, 0, 0, 14, 11, 92
"f:\urbanReality\urban-reality-os\src\workers\impactWorker.js", "JavaScript", 50, 0, 0, 9, 12, 71
"Total", "-", 411, 9, 2, 118, 69, 609
