"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "HTML", "PostCSS", "XML", "comment", "blank", "total"
"f:\urbanReality\package-lock.json", "JSON", 0, 0, 1957, 0, 0, 0, 0, 0, 1, 1958
"f:\urbanReality\package.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"f:\urbanReality\tailwind.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\details.md", "Markdown", 0, 62, 0, 0, 0, 0, 0, 0, 6, 68
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\urbanReality\urban-reality-os\.VSCodeCounter\2026-03-27_01-44-12\results.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"f:\urbanReality\urban-reality-os\README.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 17, 44
"f:\urbanReality\urban-reality-os\backend\README.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 12, 32
"f:\urbanReality\urban-reality-os\backend\config\db.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\urbanReality\urban-reality-os\backend\middleware\authMiddleware.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"f:\urbanReality\urban-reality-os\backend\models\User.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"f:\urbanReality\urban-reality-os\backend\package-lock.json", "JSON", 0, 0, 2376, 0, 0, 0, 0, 0, 1, 2377
"f:\urbanReality\urban-reality-os\backend\package.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"f:\urbanReality\urban-reality-os\backend\routes\authRoutes.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 3, 17, 76
"f:\urbanReality\urban-reality-os\backend\routes\userRoutes.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 4, 11, 98
"f:\urbanReality\urban-reality-os\backend\server.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 1, 8, 40
"f:\urbanReality\urban-reality-os\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"f:\urbanReality\urban-reality-os\index.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 2, 4, 27
"f:\urbanReality\urban-reality-os\package-lock.json", "JSON", 0, 0, 4446, 0, 0, 0, 0, 0, 1, 4447
