"filename", "language", "Markdown", "JavaScript", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\ARCHITECTURE_REFERENCE.md", "Markdown", 641, 0, 0, 0, 0, 14, 655
"f:\urbanReality\urban-reality-os\INTEGRATION_SUMMARY.md", "Markdown", 241, 0, 0, 0, 0, 56, 297
"f:\urbanReality\urban-reality-os\QUICKSTART.md", "Markdown", 216, 0, 0, 0, 0, 68, 284
"f:\urbanReality\urban-reality-os\URBAN_INTELLIGENCE_INTEGRATION.md", "Markdown", 507, 0, 0, 0, 0, 100, 607
"f:\urbanReality\urban-reality-os\integrationTest.js", "JavaScript", 0, 187, 0, 0, 38, 30, 255
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 0, 0, 26, 2, 2, 30
"f:\urbanReality\urban-reality-os\src\components\PredictionViewer.jsx", "JavaScript JSX", 0, 0, 0, 225, 18, 23, 266
"f:\urbanReality\urban-reality-os\src\components\PredictionViewer.module.css", "PostCSS", 0, 0, 312, 0, 2, 57, 371
"f:\urbanReality\urban-reality-os\src\components\UrbanIntelligenceUI.jsx", "JavaScript JSX", 0, 0, 0, 206, 39, 22, 267
"f:\urbanReality\urban-reality-os\src\components\UrbanIntelligenceUI.module.css", "PostCSS", 0, 0, 184, 0, 29, 37, 250
"f:\urbanReality\urban-reality-os\src\hooks\useUrbanIntelligence.js", "JavaScript", 0, 206, 0, 0, 46, 35, 287
"Total", "-", 1605, 393, 496, 457, 174, 444, 3569
