"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\backend\server.js", "JavaScript", 33, 0, 0, 1, 7, 41
"f:\urbanReality\urban-reality-os\server\index.js", "JavaScript", -33, 0, 0, 0, -4, -37
"f:\urbanReality\urban-reality-os\server\package-lock.json", "JSON", 0, 0, 908, 0, 1, 909
"f:\urbanReality\urban-reality-os\server\package.json", "JSON", 0, 0, 1, 0, 0, 1
"f:\urbanReality\urban-reality-os\src\components\LocationPopup.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 1
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 2
"f:\urbanReality\urban-reality-os\src\components\UrbanIntelligenceUI.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 13
"f:\urbanReality\urban-reality-os\src\engines\AIAssistant.js", "JavaScript", 248, 0, 0, 120, 41, 409
"f:\urbanReality\urban-reality-os\src\engines\BuildEngine.js", "JavaScript", 434, 0, 0, 91, 72, 597
"f:\urbanReality\urban-reality-os\src\engines\DataEngine.js", "JavaScript", 420, 0, 0, 170, 84, 674
"f:\urbanReality\urban-reality-os\src\engines\PlanningEngine.js", "JavaScript", 156, 0, 0, 80, 26, 262
"f:\urbanReality\urban-reality-os\src\engines\SatelliteEngine.js", "JavaScript", 336, 0, 0, 104, 65, 505
"f:\urbanReality\urban-reality-os\src\hooks\useUrbanIntelligence.js", "JavaScript", 14, 0, 0, 0, 0, 14
"f:\urbanReality\urban-reality-os\src\layers\BaseLayerPlugin.js", "JavaScript", 12, 0, 0, 13, 4, 29
"f:\urbanReality\urban-reality-os\src\workers\satelliteWorker.js", "JavaScript", 92, 0, 0, 23, 19, 134
"f:\urbanReality\urban-reality-os\vite.config.js", "JavaScript", 8, 0, 0, 0, 0, 8
"Total", "-", 1720, 16, 909, 602, 315, 3562
