"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\backend\models\User.js", "JavaScript", 5, 0, 0, 0, 0, 5
"f:\urbanReality\urban-reality-os\backend\package-lock.json", "JSON", 0, 266, 0, 0, 0, 266
"f:\urbanReality\urban-reality-os\backend\package.json", "JSON", 0, 6, 0, 0, 0, 6
"f:\urbanReality\urban-reality-os\backend\routes\authRoutes.js", "JavaScript", 11, 0, 0, 4, 4, 19
"f:\urbanReality\urban-reality-os\backend\utils\email.js", "JavaScript", 20, 0, 0, 0, 3, 23
"f:\urbanReality\urban-reality-os\backend\utils\otp.js", "JavaScript", 2, 0, 0, 0, 0, 2
"f:\urbanReality\urban-reality-os\server\config\passport.js", "JavaScript", 39, 0, 0, 0, 6, 45
"f:\urbanReality\urban-reality-os\server\controllers\authController.js", "JavaScript", 170, 0, 0, 0, 37, 207
"f:\urbanReality\urban-reality-os\server\index.js", "JavaScript", 17, 0, 0, 1, 3, 21
"f:\urbanReality\urban-reality-os\server\middleware\authorize.js", "JavaScript", 8, 0, 0, 0, 1, 9
"f:\urbanReality\urban-reality-os\server\models\AuditLog.js", "JavaScript", 9, 0, 0, 0, 3, 12
"f:\urbanReality\urban-reality-os\server\models\User.js", "JavaScript", 6, 0, 0, 0, 0, 6
"f:\urbanReality\urban-reality-os\server\package-lock.json", "JSON", 0, 255, 0, 0, 0, 255
"f:\urbanReality\urban-reality-os\server\package.json", "JSON", 0, 9, 0, 0, 0, 9
"f:\urbanReality\urban-reality-os\server\routes\authRoutes.js", "JavaScript", 62, 0, 0, 3, 9, 74
"f:\urbanReality\urban-reality-os\server\utils\audit.js", "JavaScript", 8, 0, 0, 0, 2, 10
"f:\urbanReality\urban-reality-os\server\utils\email.js", "JavaScript", 20, 0, 0, 0, 4, 24
"f:\urbanReality\urban-reality-os\server\utils\otp.js", "JavaScript", 2, 0, 0, 0, 1, 3
"f:\urbanReality\urban-reality-os\src\components\AuthModal.jsx", "JavaScript JSX", 0, 0, 105, 0, 7, 112
"f:\urbanReality\urban-reality-os\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 104, 0, 12, 116
"f:\urbanReality\urban-reality-os\src\store\slices\authSlice.js", "JavaScript", 2, 0, 0, 0, 1, 3
"Total", "-", 381, 536, 209, 8, 93, 1227
