"filename", "language", "JavaScript", "JavaScript JSX", "HTML", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\backend\check-user.js", "JavaScript", 26, 0, 0, 0, 7, 33
"f:\urbanReality\urban-reality-os\backend\reset-password.js", "JavaScript", 28, 0, 0, 0, 8, 36
"f:\urbanReality\urban-reality-os\backend\routes\authRoutes.js", "JavaScript", 63, 0, 0, 6, 15, 84
"f:\urbanReality\urban-reality-os\backend\server.js", "JavaScript", 4, 0, 0, 0, 0, 4
"f:\urbanReality\urban-reality-os\public\test-login.html", "HTML", 0, 0, 61, 0, 6, 67
"f:\urbanReality\urban-reality-os\src\components\AuthModal.jsx", "JavaScript JSX", 0, 160, 0, 1, 3, 164
"f:\urbanReality\urban-reality-os\src\components\Drawer.jsx", "JavaScript JSX", 0, 84, 0, 0, 7, 91
"f:\urbanReality\urban-reality-os\src\context\AuthContext.jsx", "JavaScript JSX", 0, -67, 0, -1, -7, -75
"f:\urbanReality\urban-reality-os\src\hooks\useMapEngine.js", "JavaScript", 156, 0, 0, 3, 26, 185
"f:\urbanReality\urban-reality-os\src\utils\savedPlaces.js", "JavaScript", 47, 0, 0, 0, 6, 53
"Total", "-", 324, 177, 61, 9, 71, 642
