"filename", "language", "Markdown", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\.kiro\specs\3d-buildings-upgrade\design.md", "Markdown", 547, 0, 0, 0, 174, 721
"f:\urbanReality\urban-reality-os\.kiro\specs\3d-buildings-upgrade\requirements.md", "Markdown", 114, 0, 0, 0, 56, 170
"f:\urbanReality\urban-reality-os\.kiro\specs\3d-buildings-upgrade\tasks.md", "Markdown", 133, 0, 0, 0, 32, 165
"f:\urbanReality\urban-reality-os\.kiro\specs\nasa-eonet-layer\requirements.md", "Markdown", 124, 0, 0, 0, 56, 180
"f:\urbanReality\urban-reality-os\src\components\intro\CityBuildAnimation.jsx", "JavaScript JSX", 0, 0, 25, 4, 6, 35
"f:\urbanReality\urban-reality-os\src\components\intro\IntroScene.jsx", "JavaScript JSX", 0, 0, 20, 1, 2, 23
"f:\urbanReality\urban-reality-os\src\components\intro\systems\CameraDirector.js", "JavaScript", 0, 2, 0, 1, 1, 4
"f:\urbanReality\urban-reality-os\src\engines\MapEngine.js", "JavaScript", 0, 26, 0, 4, 3, 33
"f:\urbanReality\urban-reality-os\src\engines\SkyAtmosphereRenderer.js", "JavaScript", 0, 16, 0, 8, 3, 27
"f:\urbanReality\urban-reality-os\src\engines\ThreeJSBuildingRenderer.js", "JavaScript", 0, 191, 0, 61, 45, 297
"f:\urbanReality\urban-reality-os\src\layers\BuildingsLayerPlugin.js", "JavaScript", 0, 56, 0, 9, 4, 69
"Total", "-", 918, 291, 45, 88, 382, 1724
