"filename", "language", "JSON", "JavaScript", "PostCSS", "JavaScript JSX", "Markdown", "HTML", "XML", "comment", "blank", "total"
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\README.md", "Markdown", 0, 0, 0, 0, 27, 0, 0, 0, 17, 44
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\backend\README.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 0, 12, 32
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\backend\config\db.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\backend\middleware\authMiddleware.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\backend\models\User.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\backend\package-lock.json", "JSON", 2376, 0, 0, 0, 0, 0, 0, 0, 1, 2377
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\backend\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\backend\routes\authRoutes.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 3, 17, 76
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\backend\routes\userRoutes.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 4, 11, 98
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\backend\server.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 1, 8, 40
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\index.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
